locusregion,locuscity,Old City Code,Apartment,Homestay,Hostel,Villa,Cottage
RGGOI,CTGOI,GOI,AC,Caretaker,AC,Swimming Pool,Swimming Pool
RGGOI,CTGOI,GOI,Caretaker,Kitchen,Wifi,Caretaker,Caretaker
RGGOI,CTGOI,GOI,Kitchen,AC,Living Room,AC,AC
RGGOI,CTGOI,GOI,Living Room,Living Room,Kitchen,Kitchen,Kitchen
RGGOI,CTGOI,GOI,Balcony/Terrace,Wifi,Swimming Pool,Wifi,Wifi
RGGOI,CTGOI,GOI,Wifi,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGGOI,CTGOI,GOI,Lift/Elevator,Parking,Washing Machine,TV,TV
RGGOI,CTGOI,GOI,Swimming Pool,TV,Café,Washing Machine,Washing Machine
RGBOM,CTBOM,BOM,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
RGBOM,CTBOM,BOM,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
RGBOM,CTBOM,BOM,AC,AC,Living Room,AC,AC
RGBOM,CTBOM,BOM,Wifi,Wifi,Kitchen,Kitchen,Kitchen
RGBOM,CTBOM,BOM,Lift/Elevator,Living Room,Café,Wifi,Wifi
RGBOM,CTBOM,BOM,TV,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGBOM,CTBOM,BOM,Parking,Parking,Swimming Pool,TV,TV
RGBOM,CTBOM,BOM,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
RGNCR,CTDEL,DEL,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGNCR,CTDEL,DEL,Wifi,Wifi,Living Room,Caretaker,Caretaker
RGNCR,CTDEL,DEL,Caretaker,Kitchen,Kitchen,Wifi,Wifi
RGNCR,CTDEL,DEL,Living Room,Living Room,Bonfire,Kitchen,Kitchen
RGNCR,CTDEL,DEL,Lift/Elevator,Balcony/Terrace,Café,Bonfire/Fireplace,Bonfire/Fireplace
RGNCR,CTDEL,DEL,TV,Parking,Parking,Balcony/Terrace,Balcony/Terrace
RGNCR,CTDEL,DEL,Parking,TV,Mineral Water,TV,TV
RGNCR,CTDEL,DEL,Power Backup,Lawn,Power Backup,Washing Machine,Washing Machine
RGBANG,CTBLR,BLR,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
RGBANG,CTBLR,BLR,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
RGBANG,CTBLR,BLR,AC,AC,Living Room,AC,AC
RGBANG,CTBLR,BLR,Wifi,Wifi,Kitchen,Kitchen,Kitchen
RGBANG,CTBLR,BLR,Lift/Elevator,Living Room,Café,Wifi,Wifi
RGBANG,CTBLR,BLR,TV,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGBANG,CTBLR,BLR,Parking,Parking,Swimming Pool,TV,TV
RGBANG,CTBLR,BLR,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
RGMAA,CTMAA,MAA,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
RGMAA,CTMAA,MAA,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
RGMAA,CTMAA,MAA,AC,AC,Living Room,AC,AC
RGMAA,CTMAA,MAA,Wifi,Wifi,Kitchen,Kitchen,Kitchen
RGMAA,CTMAA,MAA,Lift/Elevator,Living Room,Café,Wifi,Wifi
RGMAA,CTMAA,MAA,TV,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGMAA,CTMAA,MAA,Parking,Parking,Swimming Pool,TV,TV
RGMAA,CTMAA,MAA,Power Backup,TV,Mineral Water,Washing Machine,Washing Machine
RGTHEN,CTXOO,XOO,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGTHEN,CTXOO,XOO,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
RGTHEN,CTXOO,XOO,Living Room,Kitchen,Living Room,Wifi,Wifi
RGTHEN,CTXOO,XOO,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
RGTHEN,CTXOO,XOO,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
RGTHEN,CTXOO,XOO,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
RGTHEN,CTXOO,XOO,Parking,TV,Café,TV,TV
RGTHEN,CTXOO,XOO,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
RGSLV,CTSLV,SLV,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGSLV,CTSLV,SLV,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
RGSLV,CTSLV,SLV,Living Room,Kitchen,Living Room,Wifi,Wifi
RGSLV,CTSLV,SLV,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
RGSLV,CTSLV,SLV,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
RGSLV,CTSLV,SLV,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
RGSLV,CTSLV,SLV,Parking,TV,Café,TV,TV
RGSLV,CTSLV,SLV,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
111,CTXLK,XLK,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTXLK,XLK,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTXLK,XLK,Living Room,Kitchen,Living Room,Wifi,Wifi
111,CTXLK,XLK,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
111,CTXLK,XLK,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
111,CTXLK,XLK,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
111,CTXLK,XLK,Parking,TV,Café,TV,TV
111,CTXLK,XLK,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
111,CTHYDERA,HYD,Caretaker,Caretaker,AC,Swimming Pool,Swimming Pool
111,CTHYDERA,HYD,Kitchen,Kitchen,Wifi,Caretaker,Caretaker
111,CTHYDERA,HYD,AC,AC,Living Room,AC,AC
111,CTHYDERA,HYD,Wifi,Wifi,Kitchen,Kitchen,Kitchen
