city,property_type,amenities
RGGOI,Apartment,AC
RGGOI,Homestay,Caretaker
RGGOI,Hostel,AC
RGGOI,Villa,Swimming Pool
RGGOI,Cottage,Swimming Pool
CTGOI,Apartment,AC
CTGOI,Homestay,Caretaker
CTGOI,Hostel,AC
CTGOI,Villa,Swimming Pool
CTGOI,Cottage,Swimming Pool
GOI,Apartment,AC
GOI,Homestay,Caretaker
GOI,Hostel,AC
GOI,Villa,Swimming Pool
GOI,Cottage,Swimming Pool
RGGOI,Apartment,Caretaker
RGGOI,Homestay,Kitchen
RGGOI,Hostel,Wifi
RGGOI,Villa,Caretaker
RGGOI,Cottage,Caretaker
CTGOI,Apartment,Caretaker
CTGOI,Homestay,Kitchen
CTGOI,Hostel,Wifi
CTGOI,Villa,Caretaker
CTGOI,Cottage,Caretaker
GOI,Apartment,Caretaker
GOI,Homestay,Kitchen
GOI,Hostel,Wifi
GOI,Villa,Caretaker
GOI,Cottage,Caretaker
RGGOI,Apartment,Kitchen
RGGOI,Homestay,AC
RGGOI,Hostel,Living Room
RGGOI,Villa,AC
RGGOI,Cottage,AC
CTGOI,Apartment,Kitchen
CTGOI,Homestay,AC
CTGOI,Hostel,Living Room
CTGOI,Villa,AC
CTGOI,Cottage,AC
GOI,Apartment,Kitchen
GOI,Homestay,AC
GOI,Hostel,Living Room
GOI,Villa,AC
GOI,Cottage,AC
RGGOI,Apartment,Living Room
RGGOI,Homestay,Living Room
RGGOI,Hostel,Kitchen
RGGOI,Villa,Kitchen
RGGOI,Cottage,Kitchen
CTGOI,Apartment,Living Room
CTGOI,Homestay,Living Room
CTGOI,Hostel,Kitchen
CTGOI,Villa,Kitchen
CTGOI,Cottage,Kitchen
GOI,Apartment,Living Room
GOI,Homestay,Living Room
GOI,Hostel,Kitchen
GOI,Villa,Kitchen
GOI,Cottage,Kitchen
RGGOI,Apartment,Balcony/Terrace
RGGOI,Homestay,Wifi
RGGOI,Hostel,Swimming Pool
RGGOI,Villa,Wifi
RGGOI,Cottage,Wifi
CTGOI,Apartment,Balcony/Terrace
CTGOI,Homestay,Wifi
CTGOI,Hostel,Swimming Pool
CTGOI,Villa,Wifi
CTGOI,Cottage,Wifi
GOI,Apartment,Balcony/Terrace
GOI,Homestay,Wifi
GOI,Hostel,Swimming Pool
GOI,Villa,Wifi
GOI,Cottage,Wifi
RGGOI,Apartment,Wifi
RGGOI,Homestay,Balcony/Terrace
RGGOI,Hostel,Parking
RGGOI,Villa,Balcony/Terrace
RGGOI,Cottage,Balcony/Terrace
CTGOI,Apartment,Wifi
CTGOI,Homestay,Balcony/Terrace
CTGOI,Hostel,Parking
CTGOI,Villa,Balcony/Terrace
CTGOI,Cottage,Balcony/Terrace
GOI,Apartment,Wifi
GOI,Homestay,Balcony/Terrace
GOI,Hostel,Parking
GOI,Villa,Balcony/Terrace
GOI,Cottage,Balcony/Terrace
RGGOI,Apartment,Lift/Elevator
RGGOI,Homestay,Parking
RGGOI,Hostel,Washing Machine
RGGOI,Villa,TV
RGGOI,Cottage,TV
